Key,Value,,,,,,,,,,,,,,,,
Title,Death and Dying,,,,,,,,,,,,,,,,
Subtitle,,,,,,,,,,,,,,,,,
Code,UD2014-1,,,,,,,,,,,,,,,,
Series,Upasika Days,,,,,,,,,,,,,,,,
Venue,Abhayagiri Buddhist Monastery,,,,,,,,,,,,,,,,
Teachers,AP;AY;DS;JDaskais,,,,,,,,,,,,,,,,
Start date,09/05/2014,,,,,,,,,,,,,,,,
End date,,,,,,,,,,,,,,,,,
Format,Daylong event,,,,,,,,,,,,,,,,
Medium,In-person,,,,,,,,,,,,,,,,
Tags,Death,,,,,,,,,,,,,,,,
Website,https://www.abhayagiri.org/talks/collections/8/64-death-and-dying-upasika-day-2014,,,,,,,,,,,,,,,,
Description,,,,,,,,,,,,,,,,,
Sessions,2,,,,,,,,,,,,,,,,
Excerpts,22,,,,,,,,,,,,,,,,
Tags applied,96,,,,,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,,,,,
Duration,3:02:40,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds,,,,,
1,09/05/2014,2014-05-09 Upasika Day - Death and Dying (Part 1).mp3,1:39:55,AP,Practical and social aspects of death and dying,https://www.abhayagiri.org/media/audio/AP_04_12_2014_Upasika_Day_1.mp3,22,Death,,,,5995,,,,,
2,09/05/2014,2014-05-09 Upasika Day - Death and Dying (Part 2).mp3,1:22:45,AY;JDaskais;DS,Personal experiences with death and dying,https://www.abhayagiri.org/media/audio/AP_04_12_2014_Upasika_Day_2.mp3,0,,,,,4965,,,,,
,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Text,Teachers,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,Off topic?,Exclude?
1,Other,,0:00,,Introduction to the Death and Dying Upasika Day,,,,,,,,,,,,
1,Reading,,5:17,,Five qualities of good patients and nurses (Kd 8.26.5),,Sickness,Health care,,,,,,,,Yes,
1,Reading,,8:00,16:01,AN 6.16: Nakula's Father,,Sickness,Relationships,,,,,,,,,
1,Reading,,16:11,22:06,SN 41.10: Death of Citta the Householder,,Great disciples,,,,Deva,Faith,Three Refuges,Generosity,,,
1,Reading,,22:20,,SN 55.24-25: Sarakāni,,Stream entry,Intoxicants,,,,,,,,,
