Key,Value,,,,,,,,,,,,,,,,
Title,Jhāna: A Practical Approach,,,,,,,,,,,,,,,,
Subtitle,,,,,,,,,,,,,,,,,
Code,UD2015-4,,,,,,,,,,,,,,,,
Series,Upasika Days,,,,,,,,,,,,,,,,
Venue,Abhayagiri Buddhist Monastery,,,,,,,,,,,,,,,,
Teachers,AP;AKd,,,,,,,,,,,,,,,,
Start date,10/10/2015,,,,,,,,,,,,,,,,
End date,,,,,,,,,,,,,,,,,
Format,Daylong event,,,,,,,,,,,,,,,,
Medium,In-person,,,,,,,,,,,,,,,,
Tags,Jhāna,,,,,,,,,,,,,,,,
Website,https://www.abhayagiri.org/talks/collections/8/57-jhana-a-practical-approach-upasika-day-2015,,,,,,,,,,,,,,,,
Description,Ajahn Pasanno explains jhāna as a fundamental clarity and stillness that the mind can experience.,,,,,,,,,,,,,,,,
Sessions,4,,,,,,,,,,,,,,,,
Excerpts,16,,,,,,,,,,,,,,,,
Tags applied,74,,,,,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,,,,,
Duration,2:53:25,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds,,,,,
1,10/10/2015,2015-10-10 Upasika Day What is Jhāna.mp3,29:04,AP,What is Jhāna?,https://www.abhayagiri.org/media/audio/AP_10_10_2015_Upasika_Day_Jhana_1_What_is_Jhana.mp3,0,,,,,1744,,,,,
2,10/10/2015,2015-10-10 Upasika Day Abandoning the Hindrances.mp3,47:17,AKd,Abandoning the Hindrances,https://www.abhayagiri.org/media/audio/AKd_10_10_2015_Upasika_Day_Jhana_2_Abandoning_the_Hindrances.mp3,0,,,,,2837,,,,,
3,10/10/2015,2015-10-10 Upasika Day Questions and Answers About Jhāna.mp3,1:10:26,AP,Questions and Answers about Jhāna,https://www.abhayagiri.org/media/audio/AP_10_10_2015_Upasika_Day_Jhana_3_Questions_and_Answers_About_Jhana.mp3,16,Jhāna,,,,4226,,,,,
4,10/10/2015,2015-10-10 Upasika Day More Questions About Jhāna.mp3,26:38,AP,More Questions about Jhāna,https://www.abhayagiri.org/media/audio/AP_10_10_2015_Upasika_Day_Jhana_4_More_Questions_About_Jhana.mp3,0,Jhāna,,,,1598,,,,,
<---->,,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Text,Teachers,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,Off topic?,Exclude?
3,,,5:44,,Is jhāna the same as samādhi?,,Concentration,,,,,,,,,,
3,,,6:27,,"I'm thinking that not all samādhi is wholesome, but all jhāna is wholesome.",,Concentration,Skillful qualities,,,Right concentration,,,,,,
3,,,7:01,8:12,"In the jhāna formula, in what sense is the word 'seclusion' used?",,Seclusion,,,,Hindrances,,,,,,
3,,,8:14,9:38,Does jhāna arise only in seated meditation?,,Posture/Sitting,,,,,,,,,,
3,Reference,,,,Collected Teachings p. 332: Ajahn Chah talks about developing jhāna factors in walking meditation.,,Ajahn Chah,Posture/Walking,,,,,,,,,
3,,,9:42,,Is jhāna only in meditation?,,Meditation,,,,Right concentration,,,,,,
3,Indirect quote,,,,Only farangs [Westerners] go into meditation rock climbing! Does he contemplate the Four Noble Trurths?|Ajahn Chah,,Ajahn Chah,Culture/West,Recreation/leisure/sport,Jhāna,Meditation,Four Noble Truths,Right concentration,Directed thought and evaluation,Relinquishment,,
3,,,14:44,,"If there isn't an intention, [meditation] isn't useful for the goal?",,Meditation,Volition,,,Volitional formations,Kamma,,,,,
3,,,16:03,,"The story that we hear frequently about the Buddhaa as a child in the cattle pasture with his father. He talks about going into a pleasant, rapturous state.  Would you consider that jhāna?",,Buddha/Biography,Happiness,Rapture,,Skillful qualities,,,,,,
3,Sutta,,,,MN 36.31 Mahāsaccaka Sutta,,,,,,,,,,,,
3,Comment,,19:46,,Absorption dependent on the pleasure that comes from sense contact may not be completely wholesome.,AKd,Concentration,Happiness,Contact,Sense Bases,,,,,,,
3,Extra tags,,,,,,Skillful qualities,,,,,,,,,,
3,,,20:47,,Isn't rapture and joy a sensual pleasure?,AP;AKd,Rapture,Happiness,Sense Bases,,Dhamma,Virtue,Generosity,Compassion,Recollection/Virtue,,
3,Quote,,,,You can actually give yourself permission to enjoy the meditation.,AP,Meditation,Happiness,,,,,,,,,
3,,,23:10,,"I meditate. Pleasure arises, and I enjoy that. Does that mean it's Dhamma practice?",,Meditation,Happiness,Practicing in accordance with Dhamma,,Investigation of states,Feeling,Mindfulness of mind,,,,
